,descricao,linkpdf,linkhtml
16,Evolving Deeper LLM Thinking,/pdf/2501.09891,https://arxiv.org/html/2501.09891v1
17,Exploring the Implementation of AI in Early Onset Interviews to Help Mitigate Bias,/pdf/2501.09890,N/A
18,3rd Workshop on Maritime Computer Vision (MaCVi) 2025: Challenge Results,/pdf/2501.10343,https://arxiv.org/html/2501.10343v1
19,Agent4Edu: Generating Learner Response Data by Generative Agents for Intelligent Education Systems,/pdf/2501.10332,https://arxiv.org/html/2501.10332v1
20,"Hierarchical Autoregressive Transformers: Combining Byte-~and Word-Level Processing for Robust, Adaptable Language Models",/pdf/2501.10322,https://arxiv.org/html/2501.10322v1
21,SEANN: A Domain-Informed Neural Network for Epidemiological Insights,/pdf/2501.10273,https://arxiv.org/html/2501.10273v1
22,Unsupervised Rhythm and Voice Conversion of Dysarthric to Healthy Speech for ASR,/pdf/2501.10256,https://arxiv.org/html/2501.10256v1
23,Random-Key Algorithms for Optimizing Integrated Operating Room Scheduling,/pdf/2501.10243,https://arxiv.org/html/2501.10243v1
24,Challenges and recommendations for Electronic Health Records data extraction and preparation for dynamic prediction modelling in hospitalized patients -- a practical guide,/pdf/2501.10240,https://arxiv.org/html/2501.10240v1
25,Good things come in small packages: Should we adopt Lite-GPUs in AI infrastructure?,/pdf/2501.10187,https://arxiv.org/html/2501.10187v1
26,A Simple but Effective Closed-form Solution for Extreme Multi-label Learning,/pdf/2501.10179,https://arxiv.org/html/2501.10179v1
27,Region-wise stacking ensembles for estimating brain-age using MRI,/pdf/2501.10153,N/A
28,Dual Debiasing: Remove Stereotypes and Keep Factual Gender for Fair Language Modeling and Translation,/pdf/2501.10150,https://arxiv.org/html/2501.10150v1
29,Enhancing UAV Path Planning Efficiency Through Accelerated Learning,/pdf/2501.10141,https://arxiv.org/html/2501.10141v1
30,Conformal Prediction Sets with Improved Conditional Coverage using Trust Scores,/pdf/2501.10139,https://arxiv.org/html/2501.10139v1
31,Spatio-temporal Graph Learning on Adaptive Mined Key Frames for High-performance Multi-Object Tracking,/pdf/2501.10129,https://arxiv.org/html/2501.10129v1
32,BBPOS: BERT-based Part-of-Speech Tagging for Uzbek,/pdf/2501.10107,https://arxiv.org/html/2501.10107v1
33,Universal Actions for Enhanced Embodied Foundation Models,/pdf/2501.10105,https://arxiv.org/html/2501.10105v1
34,Robotic World Model: A Neural Network Simulator for Robust Policy Optimization in Robotics,/pdf/2501.10100,https://arxiv.org/html/2501.10100v1
35,landmarker: a Toolkit for Anatomical Landmark Localization in 2D/3D Images,/pdf/2501.10098,https://arxiv.org/html/2501.10098v1
36,How Do Programming Students Use Generative AI?,/pdf/2501.10091,https://arxiv.org/html/2501.10091v1
37,Robust Change Captioning in Remote Sensing: SECOND-CC Dataset and MModalCC Framework,/pdf/2501.10075,https://arxiv.org/html/2501.10075v1
38,SpatialCoT: Advancing Spatial Reasoning through Coordinate Alignment and Chain-of-Thought for Embodied Task Planning,/pdf/2501.10074,N/A
39,Accelerating Large Language Models through Partially Linear Feed-Forward Network,/pdf/2501.10054,https://arxiv.org/html/2501.10054v1
40,Virtual Nodes Improve Long-term Traffic Prediction,/pdf/2501.10048,https://arxiv.org/html/2501.10048v1
41,Automatic Speech Recognition for Sanskrit with Transfer Learning,/pdf/2501.10024,https://arxiv.org/html/2501.10024v1
42,Mitigating Hallucinations on Object Attributes using Multiview Images and Negative Instructions,/pdf/2501.10011,N/A
43,Adaptive Spatiotemporal Augmentation for Improving Dynamic Graph Learning,/pdf/2501.10010,https://arxiv.org/html/2501.10010v1
44,Deep Learning for Early Alzheimer Disease Detection with MRI Scans,/pdf/2501.09999,https://arxiv.org/html/2501.09999v1
45,Attention-guided Self-reflection for Zero-shot Hallucination Detection in Large Language Models,/pdf/2501.09997,https://arxiv.org/html/2501.09997v1
46,Fast energy-aware OLSR routing in VANETs by means of a parallel evolutionary algorithm,/pdf/2501.09996,https://arxiv.org/html/2501.09996v1
47,Multi-Modal Attention Networks for Enhanced Segmentation and Depth Estimation of Subsurface Defects in Pulse Thermography,/pdf/2501.09994,https://arxiv.org/html/2501.09994v1
48,RichSpace: Enriching Text-to-Video Prompt Space via Text Embedding Interpolation,/pdf/2501.09982,https://arxiv.org/html/2501.09982v1
49,Aneumo: A Large-Scale Comprehensive Synthetic Dataset of Aneurysm Hemodynamics,/pdf/2501.09980,N/A
